,Business Name,Category,City,State,County,Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description)
107,St. Helena Hospital Clearlake,hospital,,CA,Lake County,50.0,17.0,97.0,0.0,0.0,0.0,Lake County
108,St. Helena Hospital Clearlake,hospital,,CA,Lake County,50.0,18.0,89.0,0.0,0.0,0.0,Lake County
109,St. Helena Hospital Clearlake,hospital,,CA,Lake County,50.0,26.0,85.0,0.0,0.0,0.0,Lake County
110,St. Helena Hospital Clearlake,hospital,,CA,Lake County,50.0,27.0,75.0,0.0,0.0,0.0,Lake County
111,St. Helena Hospital Clearlake,hospital,,CA,Lake County,50.0,30.0,47.0,0.0,0.0,0.0,Lake County
112,St. Helena Hospital Clearlake,hospital,,CA,Lake County,50.0,39.0,85.0,0.0,0.0,0.0,Lake County
113,St. Helena Hospital Clearlake,hospital,,CA,Lake County,50.0,41.0,37.0,0.0,0.0,0.0,Lake County
114,St. Helena Hospital Clearlake,hospital,,CA,Lake County,50.0,46.0,79.0,0.0,0.0,0.0,Lake County
115,St. Helena Hospital Clearlake,hospital,,CA,Lake County,50.0,47.0,95.0,0.0,0.0,0.0,Lake County
116,Sutter Lakeside Hospital,hospital,,CA,Lake County,50.0,6.0,33.0,0.0,0.0,0.0,Lake County
117,Sutter Lakeside Hospital,hospital,,CA,Lake County,50.0,8.0,65.0,0.0,0.0,0.0,Lake County
118,Sutter Lakeside Hospital,hospital,,CA,Lake County,50.0,12.0,69.0,0.0,0.0,0.0,Lake County
119,Sutter Lakeside Hospital,hospital,,CA,Lake County,50.0,17.0,97.0,0.0,0.0,0.0,Lake County
120,Sutter Lakeside Hospital,hospital,,CA,Lake County,50.0,18.0,89.0,0.0,0.0,0.0,Lake County
121,Sutter Lakeside Hospital,hospital,,CA,Lake County,50.0,26.0,85.0,0.0,0.0,0.0,Lake County
122,Sutter Lakeside Hospital,hospital,,CA,Lake County,50.0,27.0,75.0,0.0,0.0,0.0,Lake County
123,Sutter Lakeside Hospital,hospital,,CA,Lake County,50.0,30.0,47.0,0.0,0.0,0.0,Lake County
124,Sutter Lakeside Hospital,hospital,,CA,Lake County,50.0,39.0,85.0,0.0,0.0,0.0,Lake County
125,Sutter Lakeside Hospital,hospital,,CA,Lake County,50.0,41.0,37.0,0.0,0.0,0.0,Lake County
126,Sutter Lakeside Hospital,hospital,,CA,Lake County,50.0,46.0,79.0,0.0,0.0,0.0,Lake County
127,Sutter Lakeside Hospital,hospital,,CA,Lake County,50.0,47.0,95.0,0.0,0.0,0.0,Lake County
128,Banner Lassen Medical Center ,hospital, Susanville,CA,Lassen County,50.0,6.0,35.0,0.0,0.0,0.0,Lassen County
129,North[edit],hospital,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
130,These hospitals are located north of the 10 Freeway:,hospital,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
131,Alhambra Hospital Medical Center ,hospital, Alhambra,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
132,Antelope Valley Hospital Medical Center ,hospital, Lancaster,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
133,Barlow Respiratory Hospital ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
134,Burbank Community Hospital ,hospital, Burbank (closed 1997) (renamed Thompson Memorial Medical Center Hospital),CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
135,California Hospital Medical Center ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
136,Cedars-Sinai Medical Center ,hospital, Los Angeles and Beverly Hills,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
137,Century City Hospital ,hospital, Los Angeles (closed),CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
138,Children's Hospital Los Angeles ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
139,City of Hope National Medical Center ,hospital, Duarte,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
140,Encino Hospital Medical Center ,hospital, Encino,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
141,Estelle Doheney Eye Hospital ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
142,Foothill Presbyterian Hospital ,hospital, Glendora,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
143,Garfield Medical Center ,hospital, Monterey Park,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
144,Glendale Adventist Medical Center ,hospital, Glendale,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
145,Glendale Memorial Hospital and Health Center ,hospital, Glendale,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
146,Glendora Community Hospital ,hospital, Glendora (formerly East Valley Hospital),CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
147,Good Samaritan Hospital ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
148,Granada Hills Community Hospital ,hospital, Granada Hills (closed August 2003),CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
149,Henry Mayo Newhall Memorial Hospital ,hospital, Valencia,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
150,Hollywood Community Hospital of Hollywood ,hospital, Hollywood,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
151,Hollywood Community Hospital of Van Nuys ,hospital, Van Nuys,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
152,Hollywood Presbyterian Medical Center ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
153,Huntington Memorial Hospital ,hospital, Pasadena,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
154,Kaiser Foundation Hospital ,hospital, Chatsworth,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
155,Kaiser Foundation Hospital ,hospital, Panorama City,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
156,Kaiser Foundation Hospital ,hospital, West Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
157,Kaiser Foundation Hospital ,hospital, Woodland Hills,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
158,Kaiser Foundation Hospital Sunset ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
159,Lakewood Regional Medical Center ,hospital, Lakewood,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
160,Lancaster Community Hospital ,hospital, Lancaster (closed),CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
161,Las Encinas Hospital ,hospital, Pasadena,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
162,Los Angeles Community Hospital ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
163,Los Angeles County High Desert Hospital ,hospital, Lancaster (closed June 2003),CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
164,Los Angeles County Los Amigos Medical Center,hospital,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
165,Los Angeles County-USC Medical Center ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
166,Los Angeles Metropolitan Medical Center ,hospital, Los Angeles (closed 2013),CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
167,Mattel Children's Hospital UCLA ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
168,Methodist Hospital of Southern California ,hospital, Arcadia,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
169,Mission Community Hospital ,hospital, Panorama Campus,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
170,Monrovia Community Hospital ,hospital, (closed May 2004),CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
171,Monterey Park Hospital ,hospital, Monterey Park,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
172,Motion Picture & Television Hospital ,hospital, Woodland Hills,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
173,Northridge Hospital Medical Center ,hospital, Northridge,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
174,"Northridge Hospital Medical Center, Sherman Way Campus (closed December 2004)",hospital,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
175,Olive View-UCLA Medical Center ,hospital, Sylmar,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
176,Olympia Medical Center ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
177,Orthopaedic Hospital ,hospital, Los Angeles (outpatient service only as of June 2005),CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
178,Pacific Alliance Medical Center ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
179,Pacifica Hospital Of The Valley ,hospital, Sun Valley,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
180,Palmdale Regional Medical Center ,hospital, Palmdale,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
181,Pico Rivera Medical Center ,hospital, Pico Rivera,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
182,Promise Hospital of East Los Angeles ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
183,Providence Holy Cross Medical Center ,hospital, Mission Hills,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
184,Providence St. Joseph Medical Center ,hospital, Burbank,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
185,Providence Tarzana Medical Center ,hospital, Tarzana,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
186,Queen of the Valley ,hospital, West Covina,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
187,Resnick Neuropsychiatric Hospital at UCLA ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
188,Ronald Reagan UCLA Medical Center ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
189,St. John's Health Center ,hospital, Santa Monica,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
190,St. Luke Medical Center ,hospital, Sierra Madre (closed February 2002),CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
191,St. Vincent Medical Center ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
192,San Gabriel Valley Medical Center ,hospital, San Gabriel,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
193,San Vicente Hospital,hospital,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
194,Santa Marta Hospital (see Elastar Community Hospital (closed 2004),hospital,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
195,Santa Teresita Hospital ,hospital, Duarte (acute care closed January 2004),CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
196,Sherman Oaks Hospital and the Grossman Burn Center ,hospital, Sherman Oaks,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
197,Shriners Hospital ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
198,Silver Lake Medical Center ,hospital, Los Angeles (formerly City of Angels Medical Center),CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
199,"Silver Lake Medical Center, Ingleside Campus – Rosemead",hospital,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
200,Temple Community Hospital ,hospital, Los Angeles (closed 2014),CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
201,Thompson Memorial Medical Center Hospital ,hospital, Burbank (closed 1997) (formerly Burbank Community Hospital),CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
202,"UCLA Medical Center, Santa Monica – Santa Monica",hospital,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
203,USC Kenneth Norris Jr. Cancer Hospital,hospital,,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
204,USC University Hospital ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
205,VA Greater Los Angeles Healthcare Center (Veterans Affairs) ,hospital, Los Angeles,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
206,Valley Presbyterian Hospital ,hospital, Van Nuys,CA,Los Angeles County,50.0,6.0,37.0,0.0,0.0,0.0,Los Angeles County
